workload,cores,repeat,count,seconds,tps,cpu_seconds,average_busy_cores,allocated_cpu_percent,db_write_ms,tx_commit_wait_ms,peak_rss_bytes
previous,1,1,300000,12.185109000000011,24620.21472274066,11.9375,0.9796793775090554,97.96793775090555,1255.5990000000002,121.9059,99041280
native,1,1,300000,12.13548609999998,24720.88860124033,11.875,0.9785351737990965,97.85351737990965,1207.7919,78.8174,99172352
evm,1,1,100000,6.957674499999484,14372.618322401746,6.171875,0.8870600370857328,88.70600370857328,1288.3869,0.0,101711872
previous,2,1,300000,6.388781200001176,46957.313235260706,11.625,1.8195958878663523,90.97979439331762,898.2094999999999,1511.2231,103497728
native,2,1,300000,6.466123700000026,46395.64813769319,11.734375,1.8147464453858118,90.73732226929059,907.1788,1524.9762,104501248
evm,2,1,100000,4.446357199998602,22490.320840626897,6.09375,1.3705039262257015,68.52519631128507,1030.0794999999998,0.0,101060608
previous,4,1,300000,3.5460599000016373,84600.93976412002,11.28125,3.181347839046597,79.53369597616492,752.2024,2692.4009,105005056
native,4,1,300000,3.6580821000006836,82010.18779757402,11.34375,3.1010102260957675,77.5252556523942,763.5321,2883.5324,111616000
evm,4,1,100000,3.2844850000001315,30446.1734488043,6.8125,2.074145566199793,51.85363915499482,997.1227,0.0,103710720
previous,8,1,300000,2.3364768999999797,128398.44468396097,12.15625,5.202811977298002,65.03514971622502,746.3693000000001,5814.2294,110354432
native,8,1,300000,2.3162408000007417,129520.21223350523,12.359375,5.335962910244929,66.69953637806161,738.1114,5848.8062,117166080
evm,8,1,100000,3.082282399998803,32443.49057699542,7.34375,2.3825688392481013,29.782110490601266,976.6228,0.0,113565696
previous,12,1,300000,2.334219200000007,128522.63403539784,15.171875,6.499764460852672,54.16470384043893,926.9418000000001,10404.7436,117100544
native,12,1,300000,2.2590190999999322,132801.0019924174,15.59375,6.902885416064197,57.524045133868306,821.0817999999999,9503.2667,118030336
evm,12,1,100000,3.881556599999385,25762.860188620165,9.34375,2.4072172488741965,20.060143740618305,1429.8761,0.0,122916864
previous,15,1,300000,2.0566935000006197,145865.19576198867,18.140625,8.820286056232751,58.80190704155167,810.9013,10987.8936,116031488
native,15,1,300000,2.1534967000006873,139308.3165625024,17.46875,8.111807183170713,54.07871455447142,844.7865,11825.2932,116162560
evm,15,1,100000,3.261954399999013,30656.467791220584,10.5625,3.238089410447674,21.58726273631783,997.0288,0.0,124739584
evm,15,2,100000,3.336177700000917,29974.422525506514,9.109375,2.7304825519328593,18.203217012885727,989.6005,0.0,124592128
native,15,2,300000,2.140425600000526,140159.04126727238,18.65625,8.716140378808502,58.10760252539001,810.8969999999999,11324.0967,117141504
previous,15,2,300000,2.078626799999256,144326.05218026988,18.09375,8.704665022122526,58.03110014748351,806.3646,10733.3341,113774592
evm,12,2,100000,3.1805279000000155,31441.321423402547,8.6875,2.7314647986580964,22.762206655484135,1016.5981,0.0,120184832
